plan_id,case_id,feature_id,method,feature_name,material,recognized_geometry,selected_tool_or_holder,operation_sequence,cutting_parameters,manufacturing_reasoning_notes,plan_text,cam_pass,expert_acceptable,initial_graph_violation,final_unresolved_failure
F02_C02_vanilla,F02_C02,F02,Vanilla MLLM,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F02_C02 (narrow blind slot), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation; overcut risk; tool-workpiece interference risk.",No,No,Yes,Yes
F02_C02_rag,F02_C02,F02,RAG-based Planner,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,retrieved template: trochoidal slot milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F02_C02 (narrow blind slot), the RAG-based Planner plan selects slender slotting end mill; proposes retrieved template: trochoidal slot milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F02_C02_react,F02_C02,F02,Standard ReAct Agent,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,stepwise reasoning route: trochoidal slot milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F02_C02 (narrow blind slot), the Standard ReAct Agent plan selects slender slotting end mill; proposes stepwise reasoning route: trochoidal slot milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk; invalid CAM generation; tool-workpiece interference risk.",No,No,Yes,Yes
F02_C02_kgmcf,F02_C02,F02,KGMCF (Ours),narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,Aero-MPKG-grounded route: trochoidal slot milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F02_C02 (narrow blind slot), the KGMCF (Ours) plan selects slender slotting end mill; proposes Aero-MPKG-grounded route: trochoidal slot milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C03_vanilla,F02_C03,F02,Vanilla MLLM,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F02_C03 (narrow blind slot), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F02_C03_rag,F02_C03,F02,RAG-based Planner,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,retrieved similar standard tool,retrieved template: trochoidal slot milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F02_C03 (narrow blind slot), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: trochoidal slot milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F02_C03_react,F02_C03,F02,Standard ReAct Agent,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,stepwise reasoning route: trochoidal slot milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F02_C03 (narrow blind slot), the Standard ReAct Agent plan selects slender slotting end mill; proposes stepwise reasoning route: trochoidal slot milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C03_kgmcf,F02_C03,F02,KGMCF (Ours),narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,Aero-MPKG-grounded route: trochoidal slot milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F02_C03 (narrow blind slot), the KGMCF (Ours) plan selects slender slotting end mill; proposes Aero-MPKG-grounded route: trochoidal slot milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C04_vanilla,F02_C04,F02,Vanilla MLLM,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F02_C04 (narrow blind slot), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C04_rag,F02_C04,F02,RAG-based Planner,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,retrieved similar standard tool,retrieved template: trochoidal slot milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F02_C04 (narrow blind slot), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: trochoidal slot milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C04_react,F02_C04,F02,Standard ReAct Agent,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,stepwise reasoning route: trochoidal slot milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F02_C04 (narrow blind slot), the Standard ReAct Agent plan selects slender slotting end mill; proposes stepwise reasoning route: trochoidal slot milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F02_C04_kgmcf,F02_C04,F02,KGMCF (Ours),narrow blind slot,Ti-6Al-4V,blind slot with restricted access,slender slotting end mill,Aero-MPKG-grounded route: trochoidal slot milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F02_C04 (narrow blind slot), the KGMCF (Ours) plan selects slender slotting end mill; proposes Aero-MPKG-grounded route: trochoidal slot milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. Potential issues recorded: graph-constraint violation.",No,No,Yes,Yes
F02_C05_vanilla,F02_C05,F02,Vanilla MLLM,narrow blind slot,Ti-6Al-4V,blind slot with restricted access,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F02_C05 (narrow blind slot), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk; invalid CAM generation.",No,No,Yes,Yes
